variant_name,specimens,month,year
Alpha,293,1,2021
Mu,1,1,2021
Gamma,9,1,2021
Delta,31,1,2021
Other,5293,1,2021
Lambda,0,1,2021
Beta,3,1,2021
Omicron,21,1,2021
Epsilon,7529,1,2021
Gamma,1,2,2021
Mu,0,2,2021
Alpha,603,2,2021
Epsilon,8198,2,2021
Omicron,2,2,2021
Beta,5,2,2021
Delta,4,2,2021
Other,2657,2,2021
Lambda,0,2,2021
Epsilon,6720,3,2021
Mu,1,3,2021
Alpha,2993,3,2021
Lambda,7,3,2021
Gamma,271,3,2021
Other,4189,3,2021
Omicron,0,3,2021
Delta,9,3,2021
Beta,55,3,2021
Lambda,44,4,2021
Omicron,0,4,2021
Alpha,5486,4,2021
Delta,193,4,2021
Other,2332,4,2021
Epsilon,1904,4,2021
Beta,72,4,2021
Mu,5,4,2021
Gamma,867,4,2021
Omicron,0,5,2021
Alpha,3693,5,2021
Lambda,54,5,2021
Epsilon,326,5,2021
Delta,427,5,2021
Other,1153,5,2021
Gamma,711,5,2021
Beta,26,5,2021
Mu,39,5,2021
Delta,4101,6,2021
Lambda,14,6,2021
Epsilon,55,6,2021
Gamma,802,6,2021
Omicron,0,6,2021
Other,726,6,2021
Beta,4,6,2021
Mu,158,6,2021
Alpha,2009,6,2021
Lambda,39,7,2021
Delta,47693,7,2021
Other,1051,7,2021
Omicron,4,7,2021
Beta,4,7,2021
Epsilon,10,7,2021
Gamma,828,7,2021
Mu,808,7,2021
Alpha,1165,7,2021
Lambda,19,8,2021
Omicron,21,8,2021
Beta,0,8,2021
Gamma,184,8,2021
Alpha,116,8,2021
Mu,115,8,2021
Other,385,8,2021
Delta,58800,8,2021
Epsilon,10,8,2021
Lambda,0,9,2021
Gamma,9,9,2021
Omicron,29,9,2021
Other,318,9,2021
Delta,31586,9,2021
Beta,0,9,2021
Mu,13,9,2021
Alpha,10,9,2021
Epsilon,1,9,2021
Gamma,0,10,2021
Other,220,10,2021
Delta,32562,10,2021
Alpha,0,10,2021
Mu,3,10,2021
Beta,0,10,2021
Lambda,0,10,2021
Omicron,27,10,2021
Epsilon,0,10,2021
Gamma,0,11,2021
Beta,0,11,2021
Mu,0,11,2021
Delta,37737,11,2021
Other,186,11,2021
Omicron,57,11,2021
Epsilon,0,11,2021
Alpha,0,11,2021
Lambda,0,11,2021
Mu,0,12,2021
Gamma,0,12,2021
Beta,0,12,2021
Alpha,0,12,2021
Other,164,12,2021
Delta,27253,12,2021
Omicron,36304,12,2021
Lambda,0,12,2021
Epsilon,0,12,2021
Gamma,0,1,2022
Alpha,0,1,2022
Lambda,0,1,2022
Epsilon,0,1,2022
Omicron,54884,1,2022
Delta,680,1,2022
Mu,0,1,2022
Beta,0,1,2022
Other,70,1,2022
Lambda,0,2,2022
Omicron,50784,2,2022
Beta,0,2,2022
Epsilon,0,2,2022
Alpha,0,2,2022
Mu,0,2,2022
Other,100,2,2022
Gamma,0,2,2022
Delta,30,2,2022
Omicron,11406,3,2022
Lambda,0,3,2022
Epsilon,0,3,2022
Beta,0,3,2022
Delta,5,3,2022
Other,52,3,2022
Gamma,0,3,2022
Mu,0,3,2022
Alpha,0,3,2022
Delta,6,4,2022
Lambda,0,4,2022
Omicron,16508,4,2022
Beta,0,4,2022
Epsilon,0,4,2022
Gamma,2,4,2022
Alpha,0,4,2022
Other,150,4,2022
Mu,0,4,2022
Omicron,29465,5,2022
Delta,0,5,2022
Other,631,5,2022
Beta,0,5,2022
Gamma,0,5,2022
Alpha,0,5,2022
Lambda,0,5,2022
Mu,0,5,2022
Epsilon,0,5,2022
Other,168,6,2022
Delta,2,6,2022
Gamma,0,6,2022
Epsilon,1,6,2022
Omicron,30545,6,2022
Beta,0,6,2022
Mu,0,6,2022
Lambda,0,6,2022
Alpha,0,6,2022
Delta,0,7,2022
Other,104,7,2022
Gamma,0,7,2022
Beta,0,7,2022
Alpha,0,7,2022
Mu,0,7,2022
Epsilon,0,7,2022
Lambda,0,7,2022
Omicron,38959,7,2022
Alpha,0,8,2022
Beta,0,8,2022
Mu,0,8,2022
Gamma,0,8,2022
Other,106,8,2022
Omicron,28165,8,2022
Lambda,0,8,2022
Epsilon,0,8,2022
Delta,0,8,2022
Gamma,0,9,2022
Mu,0,9,2022
Alpha,0,9,2022
Epsilon,0,9,2022
Omicron,17803,9,2022
Beta,0,9,2022
Other,100,9,2022
Delta,1,9,2022
Lambda,0,9,2022
Epsilon,0,10,2022
Gamma,0,10,2022
Alpha,0,10,2022
Mu,0,10,2022
Delta,3,10,2022
Lambda,0,10,2022
Other,71,10,2022
Beta,0,10,2022
Omicron,11847,10,2022
Mu,0,11,2022
Alpha,0,11,2022
Epsilon,0,11,2022
Delta,1,11,2022
Omicron,21727,11,2022
Lambda,0,11,2022
Beta,0,11,2022
Gamma,0,11,2022
Other,109,11,2022
Epsilon,0,12,2022
Omicron,28875,12,2022
Alpha,0,12,2022
Lambda,0,12,2022
Beta,0,12,2022
Gamma,0,12,2022
Mu,0,12,2022
Delta,0,12,2022
Other,85,12,2022
Other,70,1,2023
Delta,0,1,2023
Beta,0,1,2023
Mu,0,1,2023
Gamma,0,1,2023
Alpha,0,1,2023
Lambda,0,1,2023
Omicron,13797,1,2023
Epsilon,0,1,2023
Gamma,0,2,2023
Other,67,2,2023
Beta,0,2,2023
Delta,0,2,2023
Alpha,0,2,2023
Epsilon,0,2,2023
Omicron,9795,2,2023
Mu,0,2,2023
Lambda,0,2,2023
Omicron,7868,3,2023
Other,39,3,2023
Beta,0,3,2023
Mu,0,3,2023
Gamma,0,3,2023
Delta,0,3,2023
Alpha,0,3,2023
Epsilon,0,3,2023
Lambda,0,3,2023
Mu,0,4,2023
Alpha,0,4,2023
Gamma,0,4,2023
Other,31,4,2023
Delta,0,4,2023
Lambda,0,4,2023
Omicron,5185,4,2023
Epsilon,0,4,2023
Beta,0,4,2023
Mu,0,5,2023
Gamma,0,5,2023
Other,5,5,2023
Alpha,0,5,2023
Omicron,1066,5,2023
Beta,0,5,2023
Lambda,0,5,2023
Delta,0,5,2023
Epsilon,0,5,2023
